"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","CAF.GGXWDN_NGDP.A","OBS_VALUE","Central African Republic","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G998.D_NGDPD.A","OBS_VALUE","European Union (EU)","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TCD.GGXWDN_NGDP.A","OBS_VALUE","Chad","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COD.LUR.A","OBS_VALUE","Congo, Democratic Republic of the","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COG.GGXWDG_NGDP.A","OBS_VALUE","Congo, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","42.323","74.184","84.635","88.479","71.223","77.605","102.514","97.764","92.483","99.01","95.442"
"IMF.RES:WEO(6.0.0)","CIV.GGXWDN_NGDP.A","OBS_VALUE","Côte d'Ivoire","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","HRV.LUR.A","OBS_VALUE","Croatia, Republic of","Unemployment rate","Annual","Units","19.275","17.067","14.958","12.433","9.858","7.758","9.0","8.092","6.783","6.225","5.457"
"IMF.RES:WEO(6.0.0)","COL.GGXWDG_NGDP.A","OBS_VALUE","Colombia","Gross debt, General government, Percent of GDP","Annual","Units","43.319","50.375","49.904","49.449","51.761","50.972","65.274","64.417","61.3","55.457","61.277"
"IMF.RES:WEO(6.0.0)","COG.GGXWDN_NGDP.A","OBS_VALUE","Congo, Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COG.LUR.A","OBS_VALUE","Congo, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COD.GGXWDG_NGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Gross debt, General government, Percent of GDP","Annual","Units","22.774","25.483","32.979","23.18","19.288","19.393","24.856","24.685","22.603","25.061","19.31"
"IMF.RES:WEO(6.0.0)","CRI.GGXWDG_NGDP.A","OBS_VALUE","Costa Rica","Gross debt, General government, Percent of GDP","Annual","Units","37.436","39.786","44.056","47.064","51.839","56.431","66.912","67.628","62.985","61.119","59.753"
"IMF.RES:WEO(6.0.0)","HRV.NGDP_RPCH.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-0.555","2.322","3.461","3.281","2.903","3.1","-8.312","12.634","7.286","3.302","3.815"
"IMF.RES:WEO(6.0.0)","CRI.GGXWDN_NGDP.A","OBS_VALUE","Costa Rica","Net debt, General government, Percent of GDP","Annual","Units","37.155","39.439","43.354","46.773","51.813","55.039","66.827","66.924","61.645","59.282","58.946"
"IMF.RES:WEO(6.0.0)","COM.GGXWDG_NGDP.A","OBS_VALUE","Comoros, Union of the","Gross debt, General government, Percent of GDP","Annual","Units","11.823","14.274","16.162","18.934","17.022","21.229","24.315","26.276","28.184","28.652","30.824"
"IMF.RES:WEO(6.0.0)","SDN.GGXWDN_NGDP.A","OBS_VALUE","Sudan","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COM.LUR.A","OBS_VALUE","Comoros, Union of the","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COL.GGXWDN_NGDP.A","OBS_VALUE","Colombia","Net debt, General government, Percent of GDP","Annual","Units","31.743","40.611","38.719","38.655","41.242","41.654","54.185","54.77","52.634","48.042","53.175"
"IMF.RES:WEO(6.0.0)","CHN.LUR.A","OBS_VALUE","China, People's Republic of","Unemployment rate","Annual","Units","","","","5.0","4.93","5.15","5.617","5.117","5.583","5.217","5.117"
"IMF.RES:WEO(6.0.0)","G510.GGXWDG_NGDP.A","OBS_VALUE","ASEAN-5","Gross debt, General government, Percent of GDP","Annual","Units","45.097","46.503","46.584","47.129","48.377","50.14","61.598","65.683","67.416","70.376","72.086"
"IMF.RES:WEO(6.0.0)","COD.GGXWDN_NGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","COM.GGXWDN_NGDP.A","OBS_VALUE","Comoros, Union of the","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TJK.LP.A","OBS_VALUE","Tajikistan, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","8.363","8.549","8.735","8.921","9.107","9.292","9.475","9.657","9.836","10.013","10.188"
"IMF.RES:WEO(6.0.0)","G510.D_NGDPD.A","OBS_VALUE","ASEAN-5","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G510.LUR.A","OBS_VALUE","ASEAN-5","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","CZE.NGDP_RPCH.A","OBS_VALUE","Czech Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.245","4.959","2.581","5.174","2.83","3.566","-5.305","4.029","2.847","-0.055","1.112"
"IMF.RES:WEO(6.0.0)","CYP.GGXWDG_NGDP.A","OBS_VALUE","Cyprus","Gross debt, General government, Percent of GDP","Annual","Units","112.991","111.554","106.809","96.375","100.657","92.293","113.602","96.48","80.954","73.631","65.385"
"IMF.RES:WEO(6.0.0)","HRV.GGXWDG_NGDP.A","OBS_VALUE","Croatia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","83.224","82.768","79.256","76.171","72.847","70.884","86.469","78.201","68.544","61.836","57.647"
"IMF.RES:WEO(6.0.0)","CZE.GGXWDG_NGDP.A","OBS_VALUE","Czech Republic","Gross debt, General government, Percent of GDP","Annual","Units","41.546","39.469","36.232","33.782","31.678","29.552","36.883","40.692","42.52","42.449","42.988"
"IMF.RES:WEO(6.0.0)","MDG.LUR.A","OBS_VALUE","Madagascar, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","HRV.GGXWDN_NGDP.A","OBS_VALUE","Croatia, Republic of","Net debt, General government, Percent of GDP","Annual","Units","68.455","69.597","67.36","64.224","60.947","57.899","69.499","63.066","53.349","44.748","45.63"
"IMF.RES:WEO(6.0.0)","CYP.GGXWDN_NGDP.A","OBS_VALUE","Cyprus","Net debt, General government, Percent of GDP","Annual","Units","93.621","94.208","88.471","79.595","53.009","47.971","57.844","52.732","44.985","39.834","31.797"
"IMF.RES:WEO(6.0.0)","CZE.LUR.A","OBS_VALUE","Czech Republic","Unemployment rate","Annual","Units","6.111","5.021","3.946","2.89","2.177","1.96","2.512","2.734","2.165","2.579","2.8"
"IMF.RES:WEO(6.0.0)","CYP.LUR.A","OBS_VALUE","Cyprus","Unemployment rate","Annual","Units","16.075","14.9","12.95","11.05","8.35","7.125","7.55","7.15","6.275","5.82","4.862"
"IMF.RES:WEO(6.0.0)","CIV.GGXWDG_NGDP.A","OBS_VALUE","Côte d'Ivoire","Gross debt, General government, Percent of GDP","Annual","Units","26.71","29.172","31.118","32.595","35.317","37.216","46.315","50.165","56.035","57.528","59.253"
"IMF.RES:WEO(6.0.0)","HRV.LP.A","OBS_VALUE","Croatia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","4.202","4.152","4.107","4.041","3.989","3.949","3.914","3.879","3.856","3.86","3.856"
"IMF.RES:WEO(6.0.0)","EGY.LUR.A","OBS_VALUE","Egypt, Arab Republic of","Unemployment rate","Annual","Units","13.365","12.859","12.705","12.245","10.932","8.612","8.296","7.292","7.323","7.185","7.375"
"IMF.RES:WEO(6.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Persons for countries / Index for country groups","Annual","Millions","0.07","0.071","0.071","0.069","0.07","0.072","0.073","0.074","0.074","0.074","0.075"
"IMF.RES:WEO(6.0.0)","DOM.LUR.A","OBS_VALUE","Dominican Republic","Unemployment rate","Annual","Units","8.538","7.328","7.08","5.509","5.656","6.167","5.829","7.384","5.293","5.305","5.148"
"IMF.RES:WEO(6.0.0)","USA.GGXWDG_NGDP.A","OBS_VALUE","United States","Gross debt, General government, Percent of GDP","Annual","Units","104.429","104.854","106.78","105.728","107.041","108.197","132.032","124.716","118.806","118.998","120.786"
"IMF.RES:WEO(6.0.0)","G510.GGXWDN_NGDP.A","OBS_VALUE","ASEAN-5","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G510.D.A","OBS_VALUE","ASEAN-5","External debt, US dollar","Annual","Billions","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","DJI.GGXWDG_NGDP.A","OBS_VALUE","Djibouti","Gross debt, General government, Percent of GDP","Annual","Units","26.856","40.26","45.923","47.99","47.462","41.125","42.058","40.278","38.298","35.437","33.254"
"IMF.RES:WEO(6.0.0)","DNK.GGXWDG_NGDP.A","OBS_VALUE","Denmark","Gross debt, General government, Percent of GDP","Annual","Units","48.712","44.55","41.692","40.153","38.539","38.335","46.278","40.487","34.077","33.589","27.993"
"IMF.RES:WEO(6.0.0)","DMA.GGXWDG_NGDP.A","OBS_VALUE","Dominica","Gross debt, General government, Percent of GDP","Annual","Units","72.127","68.873","76.538","84.011","85.631","97.678","112.458","108.501","104.306","99.924","101.036"
"IMF.RES:WEO(6.0.0)","DMA.LUR.A","OBS_VALUE","Dominica","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","DJI.NGDP_RPCH.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.193","7.309","7.123","5.458","4.774","5.545","1.202","4.407","5.167","7.372","6.513"
"IMF.RES:WEO(6.0.0)","DNK.GGXWDN_NGDP.A","OBS_VALUE","Denmark","Net debt, General government, Percent of GDP","Annual","Units","19.33","19.095","18.762","15.727","13.268","12.251","14.474","9.018","4.697","1.457","-3.119"
"IMF.RES:WEO(6.0.0)","DJI.GGXWDN_NGDP.A","OBS_VALUE","Djibouti","Net debt, General government, Percent of GDP","Annual","Units","24.391","38.342","43.938","46.12","46.443","40.915","40.813","40.165","38.155","35.437","33.254"
"IMF.RES:WEO(6.0.0)","ERI.NGDP_RPCH.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","30.934","-20.621","7.391","-10.015","13.032","3.836","","","","",""
"IMF.RES:WEO(6.0.0)","GNQ.GGXWDN_NGDP.A","OBS_VALUE","Equatorial Guinea, Republic of","Net debt, General government, Percent of GDP","Annual","Units","12.56","11.691","25.79","30.697","30.144","31.837","38.391","29.002","11.408","17.576","19.963"
"IMF.RES:WEO(6.0.0)","ERI.LUR.A","OBS_VALUE","Eritrea, The State of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GNQ.NGDP_RPCH.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.415","-9.11","-8.816","-5.668","-6.237","-5.482","-4.791","0.86","3.224","-5.089","1.861"
"IMF.RES:WEO(6.0.0)","ERI.NGDPDPC.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","786.54","603.193","655.424","557.857","580.845","566.731","","","","",""
"IMF.RES:WEO(6.0.0)","ERI.LP.A","OBS_VALUE","Eritrea, The State of","Population, Persons for countries / Index for country groups","Annual","Millions","3.311","3.343","3.377","3.413","3.453","3.497","","","","",""
"IMF.RES:WEO(6.0.0)","MAC.GGXWDG_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Gross debt, General government, Percent of GDP","Annual","Units","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.RES:WEO(6.0.0)","MAC.GGXWDN_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","DOM.GGXWDN_NGDP.A","OBS_VALUE","Dominican Republic","Net debt, General government, Percent of GDP","Annual","Units","37.646","37.315","38.577","40.776","41.692","43.291","57.713","49.146","46.609","47.242","47.741"
"IMF.RES:WEO(6.0.0)","EGY.GGXWDN_NGDP.A","OBS_VALUE","Egypt, Arab Republic of","Net debt, General government, Percent of GDP","Annual","Units","73.204","75.271","81.558","86.615","80.652","74.643","80.646","85.222","83.853","91.249","86.245"
"IMF.RES:WEO(6.0.0)","EGY.GGXWDG_NGDP.A","OBS_VALUE","Egypt, Arab Republic of","Gross debt, General government, Percent of GDP","Annual","Units","80.874","83.754","91.586","97.8","87.949","80.092","86.222","89.903","88.534","95.93","90.925"
"IMF.RES:WEO(6.0.0)","ECU.LUR.A","OBS_VALUE","Ecuador","Unemployment rate","Annual","Units","3.8","4.77","5.21","4.62","3.69","3.84","5.346","4.68","3.8","3.57","3.38"
"IMF.RES:WEO(6.0.0)","EST.GGXWDG_NGDP.A","OBS_VALUE","Estonia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","11.563","10.79","10.239","9.434","8.507","9.047","19.096","18.419","19.112","20.184","23.619"
"IMF.RES:WEO(6.0.0)","EST.GGXWDN_NGDP.A","OBS_VALUE","Estonia, Republic of","Net debt, General government, Percent of GDP","Annual","Units","-2.639","-1.074","-1.555","-1.358","-1.339","-1.631","3.455","5.139","4.614","7.453","8.879"
"IMF.RES:WEO(6.0.0)","FJI.LUR.A","OBS_VALUE","Fiji, Republic of","Unemployment rate","Annual","Units","6.2","5.5","5.5","4.5","4.5","4.5","13.351","9.0","6.5","5.5","5.0"
"IMF.RES:WEO(6.0.0)","EST.LUR.A","OBS_VALUE","Estonia, Republic of","Unemployment rate","Annual","Units","7.351","6.185","6.758","5.763","5.371","4.448","6.806","6.177","5.571","6.376","7.501"
"IMF.RES:WEO(6.0.0)","SWZ.GGXWDG_NGDP.A","OBS_VALUE","Eswatini, Kingdom of","Gross debt, General government, Percent of GDP","Annual","Units","13.594","15.436","19.816","21.894","26.55","31.408","38.653","37.008","40.697","37.343","36.422"
"IMF.RES:WEO(6.0.0)","SWZ.GGXWDN_NGDP.A","OBS_VALUE","Eswatini, Kingdom of","Net debt, General government, Percent of GDP","Annual","Units","3.164","6.947","12.262","15.081","20.829","25.608","28.875","30.467","34.056","32.382","33.322"
"IMF.RES:WEO(6.0.0)","THA.LUR.A","OBS_VALUE","Thailand","Unemployment rate","Annual","Units","0.8","0.9","1.0","1.2","1.1","1.0","1.7","1.9","1.3","1.0","1.0"
"IMF.RES:WEO(6.0.0)","ETH.NGDP_RPCH.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","10.3","10.4","8.0","10.21","7.703","9.037","6.057","6.265","6.362","7.171","8.051"
"IMF.RES:WEO(6.0.0)","SLV.GGXWDG_NGDP.A","OBS_VALUE","El Salvador","Gross debt, General government, Percent of GDP","Annual","Units","71.791","73.464","75.214","77.136","76.961","77.906","95.365","87.955","83.346","84.684","87.584"
"IMF.RES:WEO(6.0.0)","ETH.GGXWDG_NGDP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","44.152","50.743","51.803","55.278","58.449","54.699","53.697","53.772","46.927","38.737","32.297"
"IMF.RES:WEO(6.0.0)","ERI.GGXWDG_NGDP.A","OBS_VALUE","Eritrea, The State of","Gross debt, General government, Percent of GDP","Annual","Units","204.483","271.409","251.228","290.386","267.092","260.393","","","","",""
"IMF.RES:WEO(6.0.0)","ETH.GGXWDN_NGDP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Net debt, General government, Percent of GDP","Annual","Units","39.599","45.913","47.829","51.34","54.798","50.666","50.082","50.446","44.451","36.503","30.535"
"IMF.RES:WEO(6.0.0)","GEO.LP.A","OBS_VALUE","Georgia","Population, Persons for countries / Index for country groups","Annual","Millions","3.717","3.722","3.729","3.726","3.73","3.724","3.717","3.729","3.689","3.736","3.695"
"IMF.RES:WEO(6.0.0)","GEO.NGDP_RPCH.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.091","3.351","3.45","5.161","6.062","5.38","-6.291","10.644","10.96","7.832","9.429"
"IMF.RES:WEO(6.0.0)","GAB.GGXWDN_NGDP.A","OBS_VALUE","Gabon","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ZWE.NGDP_RPCH.A","OBS_VALUE","Zimbabwe","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.401","1.845","0.754","5.203","5.01","-6.332","-7.817","8.468","6.139","5.337","2.027"
"IMF.RES:WEO(6.0.0)","FJI.GGXWDN_NGDP.A","OBS_VALUE","Fiji, Republic of","Net debt, General government, Percent of GDP","Annual","Units","40.223","39.038","39.802","38.716","41.342","43.961","56.731","74.317","80.819","76.124","72.428"
"IMF.RES:WEO(6.0.0)","GMB.GGXWDN_NGDP.A","OBS_VALUE","Gambia, The","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GEO.GGXWDN_NGDP.A","OBS_VALUE","Georgia","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GEO.GGXWDG_NGDP.A","OBS_VALUE","Georgia","Gross debt, General government, Percent of GDP","Annual","Units","30.335","36.015","39.465","38.894","38.221","40.049","59.559","49.094","39.169","38.923","36.095"
"IMF.RES:WEO(6.0.0)","FJI.GGXWDG_NGDP.A","OBS_VALUE","Fiji, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","46.207","44.275","44.556","43.427","45.768","48.954","63.625","83.252","91.167","83.302","80.04"
"IMF.RES:WEO(6.0.0)","GMB.LUR.A","OBS_VALUE","Gambia, The","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","FRA.GGXWDN_NGDP.A","OBS_VALUE","France","Net debt, General government, Percent of GDP","Annual","Units","87.666","88.621","89.873","89.458","89.421","88.989","101.606","100.534","101.075","101.631","105.003"
"IMF.RES:WEO(6.0.0)","GRD.LUR.A","OBS_VALUE","Grenada","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G200.GGXWDG_NGDP.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Gross debt, General government, Percent of GDP","Annual","Units","39.536","43.317","48.665","50.831","52.068","54.539","64.114","63.195","63.415","67.448","69.472"
"IMF.RES:WEO(6.0.0)","GIN.LP.A","OBS_VALUE","Guinea","Population, Persons for countries / Index for country groups","Annual","Millions","12.044","12.345","12.654","12.97","13.294","13.627","13.967","14.317","14.674","15.041","15.417"
"IMF.RES:WEO(6.0.0)","G200.D_NGDPD.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","External debt, Percent of GDP","Annual","Units","30.122","30.55","29.79","29.551","30.343","30.325","32.898","31.013","28.457","29.153","28.68"
"IMF.RES:WEO(6.0.0)","DEU.GGXWDN_NGDP.A","OBS_VALUE","Germany","Net debt, General government, Percent of GDP","Annual","Units","54.366","51.655","48.853","44.73","42.099","39.823","45.32","46.267","46.282","46.238","47.711"
"IMF.RES:WEO(6.0.0)","DEU.GGXWDG_NGDP.A","OBS_VALUE","Germany","Gross debt, General government, Percent of GDP","Annual","Units","74.52","71.216","68.282","64.026","60.809","58.701","68.035","68.077","64.997","62.878","63.888"
"IMF.RES:WEO(6.0.0)","GRC.NGDP_RPCH.A","OBS_VALUE","Greece","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.792","-0.228","-0.032","1.473","2.065","2.277","-9.196","8.654","5.744","2.332","2.272"
"IMF.RES:WEO(6.0.0)","GAB.LUR.A","OBS_VALUE","Gabon","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GEO.LUR.A","OBS_VALUE","Georgia","Unemployment rate","Annual","Units","23.0","21.9","21.7","21.6","19.2","17.6","18.5","20.6","17.3","16.4","13.9"
"IMF.RES:WEO(6.0.0)","GAB.GGXWDG_NGDP.A","OBS_VALUE","Gabon","Gross debt, General government, Percent of GDP","Annual","Units","34.063","44.703","64.495","62.926","62.342","59.778","83.04","72.945","65.589","70.586","73.403"
"IMF.RES:WEO(6.0.0)","HTI.GGXWDG_NGDP.A","OBS_VALUE","Haiti","Gross debt, General government, Percent of GDP","Annual","Units","21.354","23.889","24.386","22.516","24.113","26.53","22.321","28.863","29.506","28.464","14.945"
"IMF.RES:WEO(6.0.0)","HND.GGXWDN_NGDP.A","OBS_VALUE","Honduras","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G200.LUR.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","HND.GGXWDG_NGDP.A","OBS_VALUE","Honduras","Gross debt, General government, Percent of GDP","Annual","Units","35.227","38.517","39.621","41.499","42.623","43.5","53.716","51.03","48.69","44.936","42.615"
"IMF.RES:WEO(6.0.0)","GUY.LUR.A","OBS_VALUE","Guyana","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ROU.LUR.A","OBS_VALUE","Romania","Unemployment rate","Annual","Units","8.592","8.392","7.2","6.092","5.25","4.892","6.075","5.608","5.625","5.567","5.433"
"IMF.RES:WEO(6.0.0)","HTI.LUR.A","OBS_VALUE","Haiti","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GNB.LUR.A","OBS_VALUE","Guinea-Bissau","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GIN.GGXWDG_NGDP.A","OBS_VALUE","Guinea","Gross debt, General government, Percent of GDP","Annual","Units","35.158","44.389","43.009","41.884","39.267","38.576","47.929","42.88","40.591","37.343","47.841"
"IMF.RES:WEO(6.0.0)","GTM.GGXWDN_NGDP.A","OBS_VALUE","Guatemala","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GIN.GGXWDN_NGDP.A","OBS_VALUE","Guinea","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GNB.NGDP_RPCH.A","OBS_VALUE","Guinea-Bissau","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.965","6.134","5.307","4.789","3.761","4.5","1.5","6.2","4.6","5.2","4.7"
"IMF.RES:WEO(6.0.0)","GRD.GGXWDN_NGDP.A","OBS_VALUE","Grenada","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GTM.LUR.A","OBS_VALUE","Guatemala","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GNB.GGXWDN_NGDP.A","OBS_VALUE","Guinea-Bissau","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","IRQ.LUR.A","OBS_VALUE","Iraq","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ISL.GGXWDN_NGDP.A","OBS_VALUE","Iceland","Net debt, General government, Percent of GDP","Annual","Units","88.19","78.089","67.669","60.259","50.747","54.363","60.851","59.826","56.189","52.498","49.319"
"IMF.RES:WEO(6.0.0)","ISL.GGXWDG_NGDP.A","OBS_VALUE","Iceland","Gross debt, General government, Percent of GDP","Annual","Units","115.299","97.323","82.471","71.742","63.247","66.528","77.512","74.915","67.534","61.991","59.077"
"IMF.RES:WEO(6.0.0)","IND.GGXWDN_NGDP.A","OBS_VALUE","India","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","IND.LUR.A","OBS_VALUE","India","Unemployment rate","Annual","Units","","","","","8.901","7.484","8.662","7.365","5.3","4.939","4.939"
"IMF.RES:WEO(6.0.0)","HKG.GGXWDG_NGDP.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Gross debt, General government, Percent of GDP","Annual","Units","0.065","0.062","0.059","0.055","0.052","0.267","0.997","1.938","4.276","6.328","9.274"
"IMF.RES:WEO(6.0.0)","RUS.GGXWDN_NGDP.A","OBS_VALUE","Russian Federation","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G200.GGXWDN_NGDP.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","IDN.LUR.A","OBS_VALUE","Indonesia","Unemployment rate","Annual","Units","5.94","6.18","5.61","5.5","5.24","5.18","7.07","6.49","5.86","5.32","4.91"
"IMF.RES:WEO(6.0.0)","IRL.GGXWDN_NGDP.A","OBS_VALUE","Ireland","Net debt, General government, Percent of GDP","Annual","Units","83.914","63.667","64.061","56.928","52.835","47.635","48.304","42.602","35.794","35.149","31.032"
"IMF.RES:WEO(6.0.0)","IRQ.GGXWDN_NGDP.A","OBS_VALUE","Iraq","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MLI.GGXWDG_NGDP.A","OBS_VALUE","Mali","Gross debt, General government, Percent of GDP","Annual","Units","26.907","30.661","37.221","38.226","37.524","40.725","47.334","51.561","50.342","51.881","51.83"
"IMF.RES:WEO(6.0.0)","ITA.GGXWDG_NGDP.A","OBS_VALUE","Italy","Gross debt, General government, Percent of GDP","Annual","Units","134.755","134.746","134.195","133.689","134.138","133.823","154.288","145.735","138.279","134.579","135.286"
"IMF.RES:WEO(6.0.0)","IRQ.NGDP_RPCH.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.738","2.537","16.172","-1.509","2.633","5.588","-12.409","1.428","7.713","0.92","0.336"
"IMF.RES:WEO(6.0.0)","IRQ.GGXWDG_NGDP.A","OBS_VALUE","Iraq","Gross debt, General government, Percent of GDP","Annual","Units","27.565","48.335","60.301","55.874","44.363","41.712","72.455","54.715","38.974","42.078","42.907"
"IMF.RES:WEO(6.0.0)","ISR.GGXWDN_NGDP.A","OBS_VALUE","Israel","Net debt, General government, Percent of GDP","Annual","Units","61.7","60.1","58.6","56.8","57.3","57.2","66.8","64.1","58.3","59.8","66.063"
"IMF.RES:WEO(6.0.0)","IRN.GGXWDG_NGDP.A","OBS_VALUE","Iran, Islamic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","12.587","37.023","47.904","45.044","42.944","46.555","48.343","42.404","36.926","33.517","36.848"
"IMF.RES:WEO(6.0.0)","IDN.GGXWDN_NGDP.A","OBS_VALUE","Indonesia","Net debt, General government, Percent of GDP","Annual","Units","20.341","22.043","23.451","25.285","26.658","27.035","36.13","37.85","37.289","36.928","37.666"
"IMF.RES:WEO(6.0.0)","IRQ.LP.A","OBS_VALUE","Iraq","Population, Persons for countries / Index for country groups","Annual","Millions","35.0","35.213","36.169","37.14","38.124","39.128","40.15","41.191","42.249","43.324","44.415"
